"","title","rating","id","year","imdbid"
"86","Orphans of the Storm",3,1263,1921,"0012532"
"87","Kid, The",0,3945,1921,"0012349"
"88","K&ouml;rkarlen (The Phantom Carriage)",2,5898,1921,"0012364"
"89","Nanook of the North",1,5901,1922,"0013427"
"90","H&auml;xan: Witchcraft Through the Ages",3,3800,1922,"0013257"
"91","Man from Beyond, The",1,2001,1922,"0013367"
"92","Nosferatu, eine Symphonie des Grauens",2,1307,1922,"0013442"
"93","Dr. Mabuse, der Spieler - Ein Bild der Zeit",3,5967,1922,"0013086"
"94","Paleface, The",0,5361,1922,"0012543"
"95","Foolish Wives",3,5958,1922,"0013140"
"96","Phantom, The",2,1631,1922,"0013496"
"97","Nathan der Weise",2,1778,1922,"0013428"
"98","Our Hospitality",0,5949,1923,"0014341"
"99","Silent Command, The",2,1998,1923,"0014469"
"100","Safety Last!",0,1961,1923,"0014429"
"101","La souriante Madame Beudet",3,5888,1923,"0013626"
"102","Why Worry?",0,1967,1923,"0014611"
"103","Navigator, The",0,2009,1924,"0015163"
"104","Girl Shy",0,2016,1924,"0014945"
"105","Thief of Bagdad, The",0,1264,1924,"0015400"
"106","Sherlock Jr.",0,2011,1924,"0015324"
"107","Help!",0,6209,1924,"0013845"
"108","Kriemhild&#39;s Revenge",2,1338,1924,"0015174"
"109","Great White Silence, The",0,2413,1924,"1764657"
"110","Wild Oranges",0,1960,1924,"0015498"
"111","Die Nibelungen",2,1337,1924,"0015175"
"112","Greed",3,8458,1924,"0015881"
"113","Manhandled",3,2020,1924,"0015116"
"114","Battleship Potemkin",0,1308,1925,"0015648"
"115","Freshman, The",0,2012,1925,"0015841"
"116","Lost World, The",2,5514,1925,"0016039"
"117","Big Parade, The",2,5962,1925,"0015624"
"118","Gold Rush, The",0,1309,1925,"0015864"
"119","Seven Chances",0,3077,1925,"0016332"
"120","Go West",0,1978,1925,"0015863"
"121","Phantom of the Opera, The",2,1305,1925,"0016220"
"122","Stachka",0,5991,1925,"0015361"
"123","For Heaven&#39;s Sake",0,1966,1926,"0016895"
"124","So&#39;s Your Old Man",3,3217,1926,"0017410"
"125","General, The",0,1310,1926,"0017925"
"126","Flesh and the Devil",1,1260,1926,"0016884"
"127","Die Abenteuer des Prinzen Achmed",1,5974,1926,"0015532"
"128","Temptress, The",1,1334,1926,"0017449"
"129","Unknown, The",0,1311,1927,"0018528"
"130","Wings",1,3118,1927,"0018578"
"131","Jazz Singer, The",1,5975,1927,"0018037"
"132","Sunrise: A Song of Two Humans",2,1632,1927,"0018455"
"133","Downhill [When Boys Leave Home]",1,7324,1927,"0017825"
"134","Metropolis",1,1267,1927,"0017136"
"135","Nevada",0,1982,1927,"0018199"
"136","Kid Brother, The",0,1964,1927,"0018051"
"137","My Best Girl",3,2010,1927,"0018183"
"138","It",3,1227,1927,"0018033"
"139","Abel Gance&#39;s Napoleon",2,1312,1927,"0018192"
"140","Cameraman, The",0,1970,1928,"0018742"
"141","Beggars of Life",0,1977,1928,"0018684"
"142","A Girl in Every Port",0,1980,1928,"0018937"
"143","Crowd, The",1,5912,1928,"0018806"
"144","Passion of Joan of Arc, The",0,1314,1928,"0019254"
"145","Racket, The",0,1972,1928,"0019304"
"146","Power of the Press, The",1,1979,1928,"0019290"
"147","Circus, The",0,1968,1928,"0018773"
"148","Man Who Laughs, The",2,2021,1928,"0019130"
"149","Steamboat Bill, Jr.",0,1971,1928,"0019421"
"150","While the City Sleeps",2,2017,1928,"0019571"
"151","Docks of New York, The",2,5984,1928,"0018839"
"152","Patsy, The",3,2013,1928,"0019258"
"153","Speedy",0,1963,1928,"0019412"
"154","Juno and the Paycock [The Shame of Mary Boyle]",3,7287,1929,"0021015"
"155","Broadway Melody",3,8464,1929,"0019729"
"156","Blackmail",2,5979,1929,"0019702"
"157","Welcome Danger",0,1962,1929,"0020572"
"158","Pandora&#39;s Box (Die B&uuml;chse der Pandora)",3,2324,1929,"0018737"
"159","Man with a Movie Camera",0,3897,1929,"0019760"
"160","Un chien andalou",0,1313,1929,"0020530"
"161","Cocoanuts, The",2,1953,1929,"0019777"
"162","Throw of the Dice",0,6046,1929,"0020286"
"163","Blue Angel, The",1,1315,1930,"0020697"
"164","Murder!",3,7291,1930,"0021165"
"165","Min and Bill",3,3927,1930,"0021148"
"166","Ladies of Leisure",3,3713,1930,"0021040"
"167","Animal Crackers",3,8463,1930,"0020640"
"168","L&#39;Age d&#39;Or",0,3871,1930,"0021577"
"169","Bat Whispers, The",3,6782,1930,"0020668"
"170","Morocco",1,3865,1930,"0021156"
"171","All Quiet on the Western Front",0,1316,1930,"0020629"
"172","Be Yourself",2,4253,1930,"0020670"
"173","Anna Christie",3,1326,1930,"0020641"
"174","La Chienne",3,6030,1931,"0021739"
"175","Smiling Lieutenant, The",2,4243,1931,"0022074"
"176","Tabu: A Story of the South Seas",0,1633,1931,"0022458"
"177","City Lights",3,2705,1931,"0021749"
"178","Public Enemy, The",3,5934,1931,"0022286"
"179","Cimarron",3,8467,1931,"0021746"
"180","Skin Game, The",3,7294,1931,"0022395"
"181","Frankenstein",1,1317,1931,"0021884"
"182","Monkey Business",1,2384,1931,"0022158"
"183","Night Nurse",3,636,1931,"0022208"
"184","Cheat, The",3,5741,1931,"0021735"
"185","Anna Christie",3,1327,1931,"0020642"
"186","Indiscreet",3,1828,1931,"0022000"
"187","Little Caesar",1,6043,1931,"0021079"
"188","Hyppolit a lakaj",1,8557,1931,"0021985"
"189","Dracula",3,8213,1931,"0021815"
"190","A Nous la Liberte",1,6031,1931,"0022599"
"191","Dracula",2,1985,1931,"0021814"
"192","M&auml;dchen in Uniform",3,628,1931,"0022183"
"193","Rich and Strange [East of Shanghai]",2,7296,1931,"0023395"
"194","M",3,610,1931,"0022100"
"195","Pardon Us",0,1974,1931,"0022251"
"196","Last Flight, The",0,1956,1931,"0022054"
"197","Mata Hari",3,1333,1931,"0023196"
"198","Most Dangerous Game, The",0,3658,1932,"0023238"
"199","Girl from Calgary, The",2,5783,1932,"0022940"
"200","Old Dark House, The",3,4775,1932,"0023293"
"201","I Am a Fugitive from a Chain Gang",1,1318,1932,"0023042"
"202","Death Kiss, The",1,6176,1932,"0023935"
"203","Boudu Saved from Drowning",1,2767,1932,"0022718"
"204","Scarface",1,6063,1932,"0023427"
"205","Merrily We Go to Hell",3,5742,1932,"0023213"
"206","Age of Consent, The",2,1983,1932,"0022614"
"207","Grand Hotel",3,1328,1932,"0022958"
"208","Number 17",0,7301,1932,"0023285"
"209","Love Me Tonight",2,6052,1932,"0023158"
"210","Red-Headed Woman",3,6092,1932,"0023385"
"211","Blue Light (Das Blaue Licht), The",1,6990,1932,"0022694"
"212","Island of Lost Souls",1,3844,1932,"0024188"
"213","Three on a Match",3,6051,1932,"0023590"
"214","Shanghai Express",3,5929,1932,"0023458"
"215","Horse Feathers",1,2383,1932,"0023027"
"216","Vampyr",3,5910,1932,"0023649"
"217","Freaks",2,3659,1932,"0022913"
"218","Thirteen Women",3,6852,1932,"0023582"
"219","I Was Born, But...",1,3530,1932,"0023634"
"220","White Zombie",0,2550,1932,"0023694"
"221","Gold Diggers of 1933",3,5916,1933,"0024069"
"222","Cavalcade",3,8477,1933,"0023876"
"223","Day of Reckoning",3,5029,1933,"0023932"
"224","Little Women",3,2231,1933,"0024264"
"225","Female",3,6056,1933,"0024008"
"226","Invisible Man, The",1,7450,1933,"0024184"
"227","Duck Soup",1,5185,1933,"0023969"
"228","Footlight Parade",3,802,1933,"0024028"
"229","42nd Street",3,4335,1933,"0024034"
"230","Baby Face",3,7528,1933,"0023775"
"231","Tomorrow at Seven",3,5752,1933,"0024679"
"232","Vampire Bat, The",3,3210,1933,"0024727"
"233","Peanut Vendor, The",0,6205,1933,"0024432"
"234","A Study in Scarlet",3,6193,1933,"0024625"
"235","Queen Christina",3,1330,1933,"0024481"
"236","King Kong",0,2229,1933,"0024216"
"237","Private Life of Henry VIII., The",1,1248,1933,"0024473"
"238","Alice in Wonderland",3,3188,1933,"0023753"
"239","Design for Living",1,8346,1933,"0023940"
"240","Painted Veil, The",1,1329,1934,"0025617"
"241","Mystery Liner",0,8653,1934,"0025543"
"242","Scarlet Empress, The",3,1325,1934,"0025746"
"243","Anne of Green Gables",3,5319,1934,"0024831"
"244","Lost Patrol, The",0,1969,1934,"0025423"
"245","Of Human Bondage",1,1379,1934,"0025586"
"246","Evelyn Prentice",3,6772,1934,"0025091"
"247","Count of Monte Cristo, The",1,1246,1934,"0025004"
"248","Spitfire",3,4443,1934,"0025822"
"249","Cat&#39;s-Paw, The",1,1324,1934,"0024961"
"250","Man Who Knew Too Much, The",3,7304,1934,"0025452"
"251","Cleopatra",1,1270,1934,"0024991"
"252","Search for Beauty",3,5821,1934,"0025755"
"253","Maniac",3,4702,1934,"0025465"
"254","Lost in the Stratosphere",2,5523,1934,"0025424"
"255","It Happened One Night",3,621,1934,"0025316"
"256","L&#39;atalante",0,1795,1934,"0024844"
"257","Imitation of Life",3,7999,1934,"0025301"
"258","Top Hat",2,595,1935,"0027125"
"259","Lady in Scarlet, The",2,5750,1935,"0026599"
"260","Bride of Frankenstein, The",3,3891,1935,"0026138"
"261","Anna Karenina",2,1261,1935,"0026071"
"262","Mad Love",2,7998,1935,"0026663"
"263","Mutiny on the Bounty",1,1361,1935,"0026752"
"264","Magnificent Obsession",3,2756,1935,"0026667"
"265","39 Steps, The",3,1242,1935,"0026029"
"266","A Night At The Opera",1,3881,1935,"0026778"
"267","Roberta",3,2362,1935,"0026942"
"268","Naughty Marietta",3,1685,1935,"0026768"
"269","Riverside Murder, The",2,5913,1935,"0026939"
"270","These Three",2,7227,1936,"0028356"
"271","Petrified Forest, The",3,1369,1936,"0028096"
"272","Romeo and Juliet",3,4069,1936,"0028203"
"273","Il caso Valdemar",0,6210,1936,"3427056"
"274","Camille",3,3598,1936,"0028683"
"275","Osaka Elegy",3,2853,1936,"0028021"
"276","Sabotage",3,5926,1936,"0028212"
"277","Only Son, The",3,3560,1936,"0027752"
"278","Born to Dance",3,2363,1936,"0027387"
"279","Secret Agent",3,7308,1936,"0028231"
"280","Bullets or Ballots",3,4143,1936,"0027407"
"281","My Man Godfrey",2,5852,1936,"0028010"
"282","Fury",2,6096,1936,"0027652"
"283","Wife vs. Secretary",2,1360,1936,"0028505"
"284","Pennies from Heaven",3,4010,1936,"0028092"
"285","Theodora Goes Wild",3,3280,1936,"0028355"
"286","Great Ziegfeld, The",3,3401,1936,"0027698"
"287","Mandarin Mystery, The",3,3548,1936,"0029207"
"288","Murder at Glen Athol",3,6174,1936,"0028000"
"289","Modern Times",0,1323,1936,"0027977"
"290","Swing Time",1,596,1936,"0028333"
"291","Mr. Deeds Goes to Town",3,1992,1936,"0027996"
"292","Revolt of the Zombies",0,2554,1936,"0028174"
"293","Earthworm Tractors",1,2699,1936,"0027562"
"294","San Francisco",1,1359,1936,"0028216"
"295","Dracula&#39;s Daughter",3,7992,1936,"0027545"
"296","Charge of the Light Brigade, The",1,1237,1936,"0027438"
"297","Knight Without Armor",2,1244,1937,"0029087"
"298","A Day at the Races",2,2382,1937,"0028772"
"299","Awful Truth, The",3,6554,1937,"0028597"
"300","Prisoner of Zenda, The",1,1240,1937,"0029442"
"301","Lost Horizon",2,1336,1937,"0029162"
"302","Parnell",2,1358,1937,"0029377"
"303","Bizarre, Bizarre",3,8473,1937,"0027552"
"304","Make Way for Tomorrow",3,4255,1937,"0029192"
"305","Conquest",2,1332,1937,"0028739"
"306","Snow White and the Seven Dwarfs",3,1976,1937,"0029583"
"307","Murder at the Baskervilles (Silver Blaze)",1,5617,1937,"0029565"
"308","Topper",2,1335,1937,"0029682"
"309","Shall We Dance",1,597,1937,"0029546"
"310","Nothing Sacred",0,3968,1937,"0029322"
"311","Marked Woman",3,7877,1937,"0029217"
"312","Stella Dallas",3,795,1937,"0029608"
"313","Life of Emile Zola, The",1,8478,1937,"0029146"
"314","Pepe le Moko",2,5740,1937,"0029453"
"315","Girl Was Young, The",3,7317,1937,"0029811"
"316","Stage Door",3,631,1937,"0029604"
"317","Lady Vanishes, The",3,620,1938,"0030341"
"318","Holiday",3,994,1938,"0030241"
"319","Adventures of Robin Hood, The",2,3103,1938,"0029843"
"320","Four Daughters",3,3951,1938,"0030149"
"321","Carefree",2,594,1938,"0029971"
"322","Angels with Dirty Faces",1,7290,1938,"0029870"
"323","Sisters, The",2,1378,1938,"0030755"
"324","Dawn Patrol, The",0,1238,1938,"0030044"
"325","Jezebel",2,1367,1938,"0030287"
"326","Mr. Wong, Detective",1,2590,1938,"0030473"
"327","Boys Town",0,2467,1938,"0029942"
"328","Bluebeard&#39;s Eighth Wife",2,3283,1938,"0029929"
"329","Mad Miss Manton, The",3,4495,1938,"0030396"
"330","Baker&#39;s Wife, The",1,6042,1938,"0030127"
"331","Bringing Up Baby",3,3400,1938,"0029947"
"332","Women, The",3,588,1939,"0032143"
"333","Le jour se l&egrave;ve",2,8098,1939,"0031514"
"334","Jamaica Inn",3,7322,1939,"0031505"
"335","Flying Deuces, The",0,1973,1939,"0031322"
"336","Jesse James",2,1383,1939,"0031507"
"337","Wuthering Heights",2,1239,1939,"0032145"
"338","Juarez",2,1368,1939,"0031516"
"339","Nancy Drew... Reporter",3,5763,1939,"0031709"
"340","Adventures of Sherlock Holmes, The",3,5863,1939,"0031022"
"341","Young Mr. Lincoln",2,1382,1939,"0032155"
"342","Gone with the Wind",3,291,1939,"0031381"
"343","Gorilla, The",3,2555,1939,"0031387"
"344","Essex and Elizabeth",2,1371,1939,"0031826"
"345","Destry Rides Again",3,5634,1939,"0031225"
"346","Stagecoach",3,593,1939,"0031971"
"347","Story of Alexander Graham Bell, The",2,1385,1939,"0031981"
"348","Babes in Arms",3,3723,1939,"0031066"
"349","Gulliver&#39;s Travels",0,8511,1939,"0031397"
"350","Rules of the Game, The",3,3089,1939,"0031885"
"351","Mr. Wong in Chinatown",1,2622,1939,"0031680"
"352","Goodbye, Mr. Chips",2,1245,1939,"0031385"
"353","Ninotchka",3,1259,1939,"0031725"
"354","Of Mice and Men",1,2851,1939,"0031742"
"355","Dark Victory",3,1370,1939,"0031210"
"356","At the Circus",2,2372,1939,"0031060"
"357","Wizard of Oz, The",3,174,1939,"0032138"
"358","Drums Along the Mohawk",2,1384,1939,"0031252"
"359","Hunchback of Notre Dame, The",0,2086,1939,"0031455"
"360","Mr. Smith Goes to Washington",2,5946,1939,"0031679"
"361","Dodge City",2,383,1939,"0031235"
"362","All This, and Heaven Too",2,1373,1940,"0032194"
"363","Last Alarm, The",3,5802,1940,"0032690"
"364","Letter, The",2,1380,1940,"0032701"
"365","Comrade X",2,1355,1940,"0032349"
"366","Dance, Girl, Dance",3,4415,1940,"0032376"
"367","Grapes of Wrath, The",3,1387,1940,"0032551"
"368","Thief of Bagdad, The",0,1265,1940,"0033152"
"369","Primrose Path",3,4354,1940,"0032946"
"370","Pinocchio",1,478,1940,"0032910"
"371","Mortal Storm, The",3,1501,1940,"0032811"
"372","Ape, The",3,2556,1940,"0032215"
"373","Knute Rockne All American",1,8480,1940,"0032676"
"374","Great Dictator, The",3,3470,1940,"0032553"
"375","Philadelphia Story, The",3,4943,1940,"0032904"
"376","Strange Cargo",0,1357,1940,"0033105"
"377","His Girl Friday",3,3033,1940,"0032599"
"378","A Chump at Oxford",0,1975,1940,"0032339"
"379","Foreign Correspondent",1,7311,1940,"0032484"
"380","Rebecca",3,618,1940,"0032976"
"381","Gaslight",3,5773,1940,"0031359"
"382","Pride and Prejudice",3,4257,1940,"0032943"
"383","Shop Around the Corner, The",3,7861,1940,"0033045"
"384","Sea Hawk, The",3,3050,1940,"0033028"
"385","Santa Fe Trail",1,2678,1940,"0033021"
"386","Boom Town",1,1356,1940,"0032273"
"387","Chamber of Horrors / Door with the Seven Locks",2,4363,1940,"0032406"
"388","Fantasia",0,5039,1940,"0032455"
"389","Return of Frank James, The",0,1366,1940,"0032983"
"390","Anne Of Windy Poplars",3,5320,1940,"0032211"
"391","Suspicion",3,7329,1941,"0034248"
"392","Wolf Man, The",2,2436,1941,"0034398"
"393","Ladies In Retirement",1,6318,1941,"0033802"
"394","Little Foxes, The",2,1372,1941,"0033836"
"395","Meet John Doe",3,3717,1941,"0033891"
"396","Shanghai Gesture, The",3,1512,1941,"0034175"
"397","Cheers for Miss Bishop",3,2446,1941,"0033459"
"398","Lady Eve, The",2,1386,1941,"0033804"
"399","Hold That Ghost",3,2910,1941,"0033723"
"400","Sun valley serenade",0,8625,1941,"0034241"
"401","Men of Boys Town",1,2468,1941,"0033902"
"402","High Sierra",1,2410,1941,"0033717"
"403","Buck Privates",3,2906,1941,"0033436"
"404","Two-Faced Woman",2,1331,1941,"0034328"
"405","Devil and Miss Jones, The",3,1682,1941,"0033533"
"406","49th Parallel",0,2867,1941,"0033627"
"407","Dumbo",2,1117,1941,"0033563"
"408","Murder by Invitation",3,6171,1941,"0033928"
"409","Sullivan&#39;s Travels",3,4359,1941,"0034240"
"410","Citizen Kane",1,1266,1941,"0033467"
"411","Mr. Bug Goes to Town",1,1941,1941,"0033727"
"412","Maltese Falcon, The",1,1230,1941,"0033870"
"413","Casablanca",1,1076,1942,"0034583"
"414","Saludos Amigos",0,7696,1942,"0036326"
"415","Man Who Came to Dinner, The",3,4475,1942,"0033874"
"416","Cat People",3,2708,1942,"0034587"
"417","Magnificent Ambersons, The",2,1289,1942,"0035015"
"418","Tales of Manhattan",2,3875,1942,"0035415"
"419","I Married an Angel",3,1686,1942,"0034882"
"420","There Was a Father",0,3789,1942,"0034591"
"421","Mrs. Miniver",3,6384,1942,"0035093"
"422","For Me and My Gal",3,1675,1942,"0034746"
"423","Sherlock Holmes and the Secret Weapon",1,5859,1942,"0035317"
"424","Black Dragons",0,3518,1942,"0034521"
"425","Major and the Minor, The",3,681,1942,"0035019"
"426","Now, Voyager",3,689,1942,"0035140"
"427","To Be or Not to Be",0,5303,1942,"0035446"
"428","Son of Fury: The Story of Benjamin Blake",1,1388,1942,"0035360"
"429","Bambi",1,1116,1942,"0034492"
"430","Corpse Vanishes, The",1,7697,1942,"0034613"
"431","Saboteur",1,5939,1942,"0035279"
"432","Woman of the Year",3,4870,1942,"0035567"
"433","Angels of Sin",3,7834,1943,"0035636"
"434","Girl Crazy",1,1691,1943,"0035942"
"435","Sky&#39;s the Limit, The",1,1959,1943,"0036363"
"436","So Proudly We Hail!",3,6315,1943,"0036367"
"437","La main du diable",1,7475,1943,"0035017"
"438","More the Merrier, The",1,7410,1943,"0036172"
"439","I Walked with a Zombie",3,1955,1943,"0036027"
"440","Sahara",0,1987,1943,"0036323"
"441","Judo Saga (Sanshiro Sugata)",0,4699,1943,"0036400"
"442","Seventh Victim, The",3,8090,1943,"0036341"
"443","Tender Comrade",3,2407,1943,"0036418"
"444","Le Corbeau: The Raven",3,3890,1943,"0035753"
"445","Watch on the Rhine",3,1375,1943,"0036515"
"446","China",3,8501,1943,"0035735"
"447","Ox-Bow Incident, The",1,6310,1943,"0036244"
"448","Fires Were Started",0,5554,1943,"0035881"
"449","Day of Wrath",3,3753,1943,"0036506"
"450","Shadow of a Doubt",3,4617,1943,"0036342"
"451","Old Acquaintance",3,1374,1943,"0036230"
"452","Jane Eyre",3,6781,1943,"0036969"
"453","Life and Death of Colonel Blimp, The",2,3839,1943,"0036112"
"454","Cry &#39;Havoc&#39;",3,5209,1943,"0035770"
"455","Guadalcanal Diary",0,1988,1943,"0035957"
"456","To Have and Have Not",3,3245,1944,"0037382"
"457","Lifeboat",3,5983,1944,"0037017"
"458","National Velvet",3,4222,1944,"0037120"
"459","Arsenic and Old Lace",3,201,1944,"0036613"
"460","Mr. Skeffington",2,1376,1944,"0037094"
"461","Torment",0,2045,1944,"0036914"
"462","Double Indemnity",3,1416,1944,"0036775"
"463","A Canterbury Tale",3,6515,1944,"0036695"
"464","Minstrel Man",1,6420,1944,"0037076"
"465","Meet Me in St. Louis",3,1676,1944,"0037059"
"466","Since You Went Away",3,3154,1944,"0037280"
"467","Hail the Conquering Hero",2,1683,1944,"0036891"
"468","Laura",3,2715,1944,"0037008"
"469","Most Beautiful (Ichiban utsukushiku), The",3,4698,1944,"0036947"
"470","Cover Girl",3,3134,1944,"0036723"
"471","Window in the Window",1,2181,1944,"0037469"
"472","I&#39;ll Be Seeing You",3,3279,1944,"0036940"
"473","Three Caballeros, The",0,6319,1944,"0038166"
"474","Children of Paradise",2,5129,1945,"0037674"
"475","Mildred Pierce",3,794,1945,"0037913"
"476","Spellbound",3,4252,1945,"0038109"
"477","Scarlet Street",3,5081,1945,"0038057"
"478","Brief Encounter",3,1544,1945,"0037558"
"479","Lost Weekend, The",2,3583,1945,"0037884"
"480","Red Dragon, The",1,6945,1945,"0038017"
"481","Keep Your Powder Dry",3,5677,1945,"0037843"
"482","Along Came Jones",0,1639,1945,"0037508"
"483","Woman in Green, The",3,5856,1945,"0038259"
"484","Rome, Open City",3,4428,1945,"0038890"
"485","Isle of the Dead",3,2004,1945,"0037820"
"486","Detour",1,3999,1945,"0037638"
"487","Thin Man Goes Home",2,6848,1945,"0037365"
"488","Anchors Aweigh",0,6017,1945,"0037514"
"489","I Know Where I&#39;m Going",3,1213,1945,"0037800"
"490","Enchanted Cottage, The",3,2434,1945,"0037671"
"491","Les dames du Bois de Boulogne",3,7835,1945,"0037630"
"492","Dead of Night",3,7185,1945,"0037635"
"493","Seventh Veil, The",3,1280,1945,"0038924"
"494","Objective, Burma!",0,3271,1945,"0037954"
"495","Chase, The",1,5497,1946,"0038409"
"496","It&#39;s a Wonderful Life",3,2235,1946,"0038650"
"497","Two Sisters from Boston",3,1680,1946,"0039054"
"498","My Darling Clementine",1,3783,1946,"0038762"
"499","Terror by Night",1,5872,1946,"0039017"
"500","Song of the South",2,5646,1946,"0038969"
"501","Beauty and the Beast",3,1268,1946,"0038348"
"502","Jolson Story, The",1,2654,1946,"0038661"
"503","Harvey Girls, The",3,786,1946,"0038589"
"504","Notorious",2,622,1946,"0038787"
"505","Big Sleep, The",1,971,1946,"0038355"
"506","Dressed to Kill",3,4002,1946,"0038494"
"507","Stairway to Heaven",0,1231,1946,"0038733"
"508","Dark Corner, The",1,5961,1946,"0038453"
"509","Years Between, The",3,8354,1946,"0039112"
"510","Devotion",3,1381,1946,"0038474"
"511","Gilda",0,2809,1946,"0038559"
"512","Strange Woman, The",3,3145,1946,"0038990"
"513","Deception",0,1377,1946,"0038461"
"514","Make Mine Music",1,8052,1946,"0038718"
"515","Duel in the sun",2,4900,1946,"0038499"
"516","Stranger, The",3,7671,1946,"0038991"
"517","Postman Always Rings Twice, The",1,1424,1946,"0038854"
